id,name,common_name,messier_id,caldwell_id,ra_deg,dec_deg,type,mag,size_arcmin,surface_brightness,tags
NGC4754,NGC4754,,,,193.072917,11.313889,galaxy,10.48,3.06,23.19,
NGC4756,NGC4756,,,,193.219292,-15.413278,galaxy,12.22,1.92,23.83,
NGC4760,NGC4760,,,,193.280125,-10.494194,galaxy,11.58,2.29,23.41,
NGC4762,NGC4762,,,,193.233542,11.230806,galaxy,10.17,5.89,24.30,
NGC4763,NGC4763,,,,193.363417,-17.005528,galaxy,12.49,1.51,23.09,
NGC4767,NGC4767,,,,193.470625,-39.714306,galaxy,11.51,2.10,23.59,
NGC4772,NGC4772,,,,193.371500,2.168389,galaxy,11.34,3.06,23.36,
NGC4775,NGC4775,,,,193.440417,-6.622167,galaxy,11.56,2.09,21.94,
NGC4781,NGC4781,,,,193.598958,-10.537194,galaxy,11.39,2.57,22.16,
NGC4785,NGC4785,,,,193.363875,-48.749194,galaxy,12.09,1.50,22.95,
NGC4786,NGC4786,,,,193.635083,-6.859417,galaxy,11.71,1.75,23.06,
NGC4789,NGC4789,,,,193.579250,27.068028,galaxy,12.06,1.39,22.91,
NGC4790,NGC4790,,,,193.716417,-10.247833,galaxy,12.41,1.31,22.16,
NGC4793,NGC4793,,,,193.669250,28.938667,galaxy,11.64,1.38,21.80,
NGC4800,NGC4800,,,,193.657500,46.531167,galaxy,12.32,1.40,21.90,
NGC4802,NGC4802,,,,193.956833,-12.055306,galaxy,11.34,2.47,23.24,
NGC4808,NGC4808,,,,193.953958,4.304111,galaxy,11.79,1.65,22.21,
NGC4814,NGC4814,,,,193.841417,58.344111,galaxy,12.03,2.38,23.53,
NGC4818,NGC4818,,,,194.203750,-8.525306,galaxy,11.34,2.77,23.20,
NGC4825,NGC4825,,,,194.301000,-13.664833,galaxy,11.56,2.17,23.75,
NGC4826,NGC4826,Black Eye Galaxy,M64,,194.181833,21.682972,galaxy,8.52,7.92,22.68,messier
NGC4830,NGC4830,,,,194.366292,-19.691278,galaxy,12.09,1.90,23.63,
NGC4832,NGC4832,,,,194.448042,-39.761694,galaxy,12.27,1.81,23.69,
NGC4833,NGC4833,,,C105,194.895583,-70.874583,globular_cluster,7.79,8.40,,caldwell
NGC4835,NGC4835,,,,194.532667,-46.264222,galaxy,11.81,1.99,22.57,
NGC4839,NGC4839,,,,194.351500,27.497806,galaxy,12.11,1.97,24.04,
NGC4845,NGC4845,,,,194.504958,1.575833,galaxy,10.97,3.35,23.46,
NGC4856,NGC4856,,,,194.838625,-15.042167,galaxy,10.62,2.91,23.23,
NGC4861,NGC4861,,,,194.759750,34.859444,galaxy,12.32,2.63,23.65,
NGC4866,NGC4866,,,,194.863083,14.171056,galaxy,11.08,3.38,24.19,
NGC4874,NGC4874,,,,194.898792,27.959278,galaxy,11.83,2.13,23.44,
NGC4889,NGC4889,,,C35,195.033875,27.977000,galaxy,11.45,2.13,23.39,caldwell
NGC4899,NGC4899,,,,195.235958,-13.944222,galaxy,12.33,1.59,22.48,
NGC4900,NGC4900,,,,195.162958,2.501444,galaxy,11.36,2.08,22.23,
NGC4902,NGC4902,,,,195.248875,-14.513639,galaxy,11.26,2.50,22.57,
NGC4903,NGC4903,,,,195.344875,-30.934972,galaxy,12.50,1.56,23.48,
NGC4904,NGC4904,,,,195.244417,-0.027611,galaxy,11.96,1.61,22.42,
NGC4914,NGC4914,,,,195.178958,37.315278,galaxy,11.60,2.00,23.48,
NGC4915,NGC4915,,,,195.367583,-4.546528,galaxy,12.00,1.59,22.84,
NGC4930,NGC4930,,,,196.021958,-41.411583,galaxy,11.43,3.19,23.49,
NGC4933B,NGC4933B,,,,195.986417,-11.498056,galaxy,11.74,3.12,24.41,
NGC4936,NGC4936,,,,196.070375,-30.526250,galaxy,10.71,2.64,23.12,
NGC4939,NGC4939,,,,196.059958,-10.339611,galaxy,11.91,4.00,23.71,
NGC4941,NGC4941,,,,196.054750,-5.551611,galaxy,11.27,3.00,23.09,
NGC4945,NGC4945,,,C83,196.364500,-49.468222,galaxy,11.86,13.68,23.40,caldwell
NGC4946,NGC4946,,,,196.372417,-43.591139,galaxy,12.35,1.83,23.76,
NGC4947,NGC4947,,,,196.334167,-35.337417,galaxy,12.20,2.00,23.05,
NGC4951,NGC4951,,,,196.282083,-6.493833,galaxy,11.84,2.15,22.96,
NGC4955,NGC4955,,,,196.520083,-29.754278,galaxy,12.15,2.03,23.87,
NGC4956,NGC4956,,,,196.253917,35.178028,galaxy,12.38,1.54,22.99,
NGC4958,NGC4958,,,,196.453667,-8.020278,galaxy,10.59,3.00,23.53,
NGC4965,NGC4965,,,,196.789083,-28.228194,galaxy,12.41,2.27,23.27,
NGC4976,NGC4976,,,,197.156375,-49.506417,galaxy,10.08,4.55,23.63,
NGC4981,NGC4981,,,,197.203083,-6.777528,galaxy,11.41,2.33,22.72,
NGC4984,NGC4984,,,,197.238458,-15.516306,galaxy,11.01,2.94,23.55,
NGC4995,NGC4995,,,,197.419375,-7.833417,galaxy,11.11,1.96,22.23,
NGC5005,NGC5005,,,C29,197.734292,37.059194,galaxy,10.71,3.17,21.82,caldwell
NGC5011,NGC5011,,,,198.216083,-43.096222,galaxy,11.38,2.67,23.59,
NGC5012,NGC5012,,,,197.904333,22.915500,galaxy,12.40,2.04,22.75,
NGC5018,NGC5018,,,,198.254292,-19.518194,galaxy,10.85,2.83,23.24,
NGC5023,NGC5023,,,,198.052500,44.041222,galaxy,12.29,3.50,23.84,
NGC5024,NGC5024,,M53,,198.230125,18.169111,globular_cluster,7.79,9.00,,messier
NGC5026,NGC5026,,,,198.556833,-42.961278,galaxy,11.81,2.66,23.74,
NGC5033,NGC5033,,,,198.364458,36.593944,galaxy,10.68,7.21,23.78,
NGC5037,NGC5037,,,,198.747375,-16.590306,galaxy,12.14,1.25,22.74,
NGC5042,NGC5042,,,,198.879250,-23.984056,galaxy,11.78,3.18,23.88,
NGC5044,NGC5044,,,,198.849875,-16.385528,galaxy,10.78,3.42,23.27,
NGC5053,NGC5053,,,,199.112458,17.697750,globular_cluster,9.96,4.80,,
NGC5054,NGC5054,,,,199.243708,-16.634861,galaxy,10.79,3.97,23.45,
NGC5055,NGC5055,Sunflower Galaxy,M63,,198.955542,42.029278,galaxy,8.61,9.50,23.04,messier
NGC5061,NGC5061,,,,199.521125,-26.837222,galaxy,10.31,3.40,22.94,
NGC5062,NGC5062,,,,199.598417,-35.458667,galaxy,12.24,1.94,24.10,
NGC5064,NGC5064,,,,199.749708,-47.908667,galaxy,12.04,2.05,23.50,
NGC5068,NGC5068,,,,199.728375,-21.039111,galaxy,10.06,7.09,23.65,
NGC5077,NGC5077,,,,199.881958,-12.656972,galaxy,11.65,2.36,23.30,
NGC5078,NGC5078,,,,199.958250,-27.410389,galaxy,10.64,1.59,22.26,
NGC5084,NGC5084,,,,200.070500,-21.827583,galaxy,10.49,6.20,25.22,
NGC5087,NGC5087,,,,200.104000,-20.611000,galaxy,11.13,2.75,23.35,
NGC5090,NGC5090,,,,200.303417,-43.704556,galaxy,11.28,3.13,24.15,
NGC5101,NGC5101,,,,200.442667,-27.430528,galaxy,10.46,5.71,24.15,
NGC5102,NGC5102,,,,200.490042,-36.630250,galaxy,9.88,6.71,23.87,
NGC5105,NGC5105,,,,200.454542,-13.206778,galaxy,11.81,1.65,22.69,
NGC5112,NGC5112,,,,200.485000,38.734694,galaxy,12.17,2.41,23.34,
NGC5121,NGC5121,,,,201.190042,-37.682194,galaxy,11.62,1.92,22.79,
NGC5124,NGC5124,,,,201.210125,-30.307528,galaxy,12.08,1.64,23.83,
NGC5128,NGC5128,Centaurus A,,C77,201.365083,-43.019111,galaxy,7.22,22.82,23.59,caldwell;southern_showpiece
NGC5129,NGC5129,,,,201.041708,13.976528,galaxy,12.11,1.47,22.98,
NGC5134,NGC5134,,,,201.327292,-21.134167,galaxy,11.77,2.12,22.95,
NGC5139,NGC5139,Omega Centauri,,C80,201.691208,-47.476861,globular_cluster,5.33,27.00,,caldwell;southern_showpiece
NGC5147,NGC5147,,,,201.582208,2.100861,galaxy,12.13,1.42,21.78,
NGC5153,NGC5153,,,,201.976375,-29.618028,galaxy,11.92,2.17,23.71,
NGC5156,NGC5156,,,,202.183708,-48.916806,galaxy,11.86,2.31,23.12,
NGC5161,NGC5161,,,,202.307958,-33.173833,galaxy,11.52,3.49,23.43,
NGC5170,NGC5170,,,,202.453292,-17.966417,galaxy,11.23,4.68,23.95,
NGC5172,NGC5172,,,,202.330458,17.051917,galaxy,11.96,1.86,22.84,
NGC5188,NGC5188,,,,202.867833,-34.794417,galaxy,12.04,2.91,24.07,
NGC5189,NGC5189,,,,203.387125,-65.974056,planetary_nebula,10.30,2.33,,
NGC5193,NGC5193,,,,202.973042,-33.234222,galaxy,11.73,1.98,23.03,
NGC5194,NGC5194,Whirlpool Galaxy,M51,,202.469625,47.195167,galaxy,8.36,12.69,22.90,messier
NGC5195,NGC5195,,,,202.498292,47.266139,galaxy,9.58,4.93,22.84,
NGC5198,NGC5198,,,,202.547500,46.670778,galaxy,11.78,1.85,23.10,
NGC5204,NGC5204,,,,202.402125,58.418722,galaxy,11.32,3.66,23.32,
NGC5206,NGC5206,,,,203.433250,-48.151167,galaxy,10.49,3.54,23.77,
NGC5218,NGC5218,,,,203.043250,62.767750,galaxy,12.32,1.52,22.86,
NGC5236,NGC5236,Southern Pinwheel Galaxy,M83,,204.253958,-29.865417,galaxy,7.21,13.41,22.20,messier
NGC5237,NGC5237,,,,204.412708,-42.846972,galaxy,12.49,1.96,23.80,
NGC5247,NGC5247,,,,204.512667,-17.884028,galaxy,10.41,4.79,22.95,
NGC5248,NGC5248,,,C45,204.383417,8.885167,galaxy,9.97,3.23,22.25,caldwell
NGC5253,NGC5253,,,,204.983167,-31.640111,galaxy,10.28,3.56,22.28,
NGC5254,NGC5254,,,,204.907958,-11.493861,galaxy,12.16,2.40,23.34,
NGC5264,NGC5264,,,,205.402833,-29.913083,galaxy,11.98,2.58,23.42,
NGC5266,NGC5266,,,,205.758792,-48.169417,galaxy,10.77,2.50,23.11,
NGC5272,NGC5272,,M3,,205.546792,28.375444,globular_cluster,6.39,16.20,,messier;showpiece
NGC5273,NGC5273,,,,205.534750,35.654222,galaxy,12.16,1.92,23.07,
NGC5286,NGC5286,,,C84,206.610750,-51.373472,globular_cluster,8.31,6.60,,caldwell
NGC5292,NGC5292,,,,206.916958,-30.939528,galaxy,11.92,1.81,22.98,
NGC5297,NGC5297,,,,206.598625,43.872333,galaxy,11.76,2.31,22.87,
NGC5302,NGC5302,,,,207.207000,-30.511111,galaxy,12.43,0.82,22.21,
NGC5308,NGC5308,,,,206.751792,60.973167,galaxy,11.32,2.45,24.00,
NGC5313,NGC5313,,,,207.434750,39.984778,galaxy,12.09,1.43,22.38,
NGC5320,NGC5320,,,,207.584917,41.366222,galaxy,12.40,1.37,22.83,
NGC5322,NGC5322,,,,207.313625,60.190528,galaxy,10.14,4.55,23.64,
NGC5324,NGC5324,,,,208.024542,-6.058306,galaxy,12.18,1.66,22.51,
NGC5326,NGC5326,,,,207.711250,39.574861,galaxy,11.87,1.60,23.00,
NGC5328,NGC5328,,,,208.222125,-28.489389,galaxy,11.71,2.39,23.98,
NGC5329,NGC5329,,,,208.042042,2.325111,galaxy,12.46,1.09,23.09,
NGC5333,NGC5333,,,,208.600917,-48.512528,galaxy,11.89,1.64,23.21,
NGC5334,NGC5334,,,,208.226917,-1.114639,galaxy,11.73,2.91,24.15,
NGC5339,NGC5339,,,,208.501125,-7.930667,galaxy,12.24,1.66,22.77,
NGC5350,NGC5350,,,,208.340125,40.363944,galaxy,11.47,2.17,22.80,
NGC5351,NGC5351,,,,208.365458,37.914972,galaxy,12.15,1.87,23.30,
NGC5353,NGC5353,,,,208.361208,40.283028,galaxy,11.02,1.77,22.57,
NGC5354,NGC5354,,,,208.361250,40.302750,galaxy,11.38,2.09,23.42,
NGC5357,NGC5357,,,,208.998125,-30.341444,galaxy,12.01,2.03,23.54,
NGC5363,NGC5363,,,,209.030042,5.254778,galaxy,10.21,3.46,22.82,
NGC5364,NGC5364,,,,209.050000,5.014472,galaxy,10.52,2.73,22.19,
NGC5365,NGC5365,,,,209.461000,-43.931306,galaxy,11.32,3.01,24.03,
NGC5371,NGC5371,,,,208.916417,40.461750,galaxy,11.69,3.21,22.64,
NGC5375,NGC5375,,,,209.233333,29.164361,galaxy,12.08,2.04,23.20,
NGC5376,NGC5376,,,,208.816958,59.506611,galaxy,12.33,1.20,22.26,
NGC5377,NGC5377,,,,209.069458,47.235694,galaxy,11.27,2.53,23.29,
NGC5380,NGC5380,,,,209.236208,37.610389,galaxy,12.29,1.50,23.49,
NGC5383,NGC5383,,,,209.270708,41.846250,galaxy,11.57,2.18,22.73,
NGC5389,NGC5389,,,,209.026375,59.742056,galaxy,11.98,1.99,23.99,
NGC5395,NGC5395,,,,209.658250,37.424472,galaxy,11.66,1.83,22.45,
NGC5398,NGC5398,,,,210.339833,-33.063778,galaxy,12.39,2.21,24.57,
NGC5406,NGC5406,,,,210.083833,38.915417,galaxy,12.33,1.46,22.75,
NGC5408,NGC5408,,,,210.837125,-41.377694,galaxy,11.64,2.19,22.66,
NGC5419,NGC5419,,,,210.911375,-33.978250,galaxy,10.77,3.46,23.76,
NGC5422,NGC5422,,,,210.175167,55.164472,galaxy,11.80,1.70,23.67,
NGC5426,NGC5426,,,,210.853542,-6.069111,galaxy,12.16,2.13,23.12,
NGC5427,NGC5427,,,,210.858542,-6.030806,galaxy,12.39,3.44,23.40,
NGC5444,NGC5444,,,,210.850542,35.132111,galaxy,11.86,2.21,23.62,
NGC5447,NGC5447,,,,210.618333,54.276917,emission_nebula,,,,
NGC5448,NGC5448,,,,210.708458,49.172694,galaxy,11.88,2.86,23.39,
NGC5450,NGC5450,,,,210.624125,54.271028,emission_nebula,,,,
NGC5453,NGC5453,,,,210.734958,54.307972,emission_nebula,,,,
NGC5457,NGC5457,,M101,,210.802250,54.348944,galaxy,7.90,23.53,23.97,messier
NGC5458,NGC5458,,,,210.801958,54.298333,emission_nebula,,,,
NGC5466,NGC5466,,,,211.364000,28.534500,globular_cluster,9.70,6.60,,
NGC5468,NGC5468,,,,211.645375,-5.453111,galaxy,12.05,2.21,23.41,
NGC5473,NGC5473,,,,211.180125,54.892639,galaxy,11.47,1.77,22.60,
NGC5474,NGC5474,,,,211.256708,53.662222,galaxy,11.01,1.98,21.75,
NGC5480,NGC5480,,,,211.589917,50.725111,galaxy,12.18,1.48,22.49,
NGC5483,NGC5483,,,,212.604292,-43.324611,galaxy,11.13,3.25,23.27,
NGC5485,NGC5485,,,,211.797292,55.001694,galaxy,11.50,2.13,23.13,
NGC5490,NGC5490,,,,212.488708,17.545556,galaxy,12.05,1.48,23.03,
NGC5493,NGC5493,,,,212.872417,-5.043611,galaxy,11.42,2.04,22.72,
NGC5507,NGC5507,,,,213.332792,-3.148889,galaxy,12.44,1.20,23.15,
NGC5516,NGC5516,,,,213.977875,-48.114861,galaxy,11.99,1.98,23.62,
NGC5529,NGC5529,,,,213.891958,36.226583,galaxy,11.91,3.23,23.68,
NGC5530,NGC5530,,,,214.613125,-43.388583,galaxy,11.19,3.52,23.36,
NGC5532,NGC5532,,,,214.220625,10.807389,galaxy,11.94,2.14,23.55,
NGC5533,NGC5533,,,,214.032250,35.343833,galaxy,11.81,2.22,23.31,
NGC5534,NGC5534,,,,214.417750,-7.417417,galaxy,12.49,1.29,22.50,
NGC5546,NGC5546,,,,214.538458,7.564556,galaxy,12.29,1.43,23.18,
NGC5556,NGC5556,,,,215.142042,-29.241778,galaxy,11.82,3.10,24.05,
NGC5557,NGC5557,,,,214.607167,36.493556,galaxy,11.02,1.70,22.54,
NGC5560,NGC5560,,,,215.018708,3.992472,galaxy,12.35,2.15,23.66,
NGC5566,NGC5566,,,,215.082875,3.933750,galaxy,10.51,3.72,23.30,
NGC5574,NGC5574,,,,215.233208,3.238000,galaxy,12.45,1.07,22.61,
NGC5576,NGC5576,,,,215.265333,3.271000,galaxy,10.90,2.35,22.90,
NGC5582,NGC5582,,,,215.179667,39.693583,galaxy,11.62,1.80,23.05,
NGC5585,NGC5585,,,,214.950833,56.729056,galaxy,11.02,3.44,22.86,
NGC5595,NGC5595,,,,216.055167,-16.723000,galaxy,12.02,1.56,22.35,
NGC5600,NGC5600,,,,215.956333,14.638778,galaxy,12.39,1.58,22.65,
NGC5605,NGC5605,,,,216.281542,-13.163000,galaxy,12.50,1.36,22.59,
NGC5612,NGC5612,,,,218.505208,-78.387500,galaxy,12.08,1.54,22.86,
NGC5614,NGC5614,,,,216.031625,34.858861,galaxy,11.71,2.21,23.12,
NGC5629,NGC5629,,,,217.068208,25.848778,galaxy,12.19,1.65,23.08,
NGC5631,NGC5631,,,,216.638750,56.582639,galaxy,11.56,1.95,22.69,
NGC5633,NGC5633,,,,216.868250,46.146528,galaxy,12.46,0.91,21.73,
NGC5634,NGC5634,,,,217.405333,-5.976417,globular_cluster,10.05,4.50,,
NGC5638,NGC5638,,,,217.418250,3.233306,galaxy,11.21,1.82,22.46,
NGC5643,NGC5643,,,,218.169750,-44.174417,galaxy,11.49,4.93,23.02,
NGC5645,NGC5645,,,,217.663958,7.275083,galaxy,12.41,1.56,22.64,
NGC5653,NGC5653,,,,217.543417,31.215500,galaxy,12.22,1.47,22.52,
NGC5656,NGC5656,,,,217.606292,35.321028,galaxy,12.43,1.07,22.16,
NGC5660,NGC5660,,,,217.457542,49.622667,galaxy,11.91,2.54,23.15,
NGC5668,NGC5668,,,,218.351417,4.450444,galaxy,11.71,1.76,22.25,
NGC5670,NGC5670,,,,218.900125,-45.966972,galaxy,11.96,1.88,23.71,
NGC5673,NGC5673,,,,217.878792,49.958722,galaxy,12.17,1.39,22.25,
NGC5676,NGC5676,,,,218.195208,49.457889,galaxy,11.22,2.60,22.74,
NGC5678,NGC5678,,,,218.023375,57.921444,galaxy,11.43,2.25,22.92,
NGC5687,NGC5687,,,,218.718333,54.475861,galaxy,11.74,1.89,23.21,
NGC5688,NGC5688,,,,219.896458,-45.019000,galaxy,11.81,3.02,23.96,
NGC5689,NGC5689,,,,218.873708,48.741639,galaxy,11.80,2.29,23.88,
NGC5690,NGC5690,,,,219.421125,2.290833,galaxy,12.48,2.10,22.79,
NGC5691,NGC5691,,,,219.472250,-0.398889,galaxy,12.38,1.63,22.84,
NGC5694,NGC5694,,,C66,219.902125,-26.538333,globular_cluster,10.89,3.30,,caldwell
NGC5701,NGC5701,,,,219.796167,5.363472,galaxy,11.20,1.80,22.28,
NGC5713,NGC5713,,,,220.047958,-0.288972,galaxy,11.32,2.08,22.03,
NGC5728,NGC5728,,,,220.599583,-17.253083,galaxy,11.51,2.54,23.22,
NGC5740,NGC5740,,,,221.101875,1.679778,galaxy,11.90,2.02,23.00,
NGC5746,NGC5746,,,,221.233000,1.955000,galaxy,10.55,4.16,23.19,
NGC5750,NGC5750,,,,221.546333,-0.222944,galaxy,11.69,2.01,23.20,
NGC5756,NGC5756,,,,221.890542,-14.853583,galaxy,12.28,2.04,23.40,
NGC5761,NGC5761,,,,222.285333,-20.376028,galaxy,12.49,1.60,23.45,
NGC5770,NGC5770,,,,223.312583,3.959722,galaxy,12.27,1.00,22.14,
NGC5774,NGC5774,,,,223.426917,3.582500,galaxy,12.24,1.38,22.58,
NGC5775,NGC5775,,,,223.490000,3.544444,galaxy,11.43,2.27,22.62,
NGC5786,NGC5786,,,,224.734417,-42.013361,galaxy,11.89,1.86,,
NGC5791,NGC5791,,,,224.692583,-19.266861,galaxy,11.85,2.07,23.69,
NGC5792,NGC5792,,,,224.594625,-1.091083,galaxy,11.26,2.46,22.95,
NGC5796,NGC5796,,,,224.850458,-16.623861,galaxy,11.58,2.42,23.71,
NGC5806,NGC5806,,,,225.001667,1.891306,galaxy,11.65,2.33,23.05,
NGC5812,NGC5812,,,,225.232083,-7.457361,galaxy,11.23,2.48,23.18,
NGC5813,NGC5813,,,,225.296792,1.701972,galaxy,10.53,3.42,23.45,
NGC5820,NGC5820,,,,224.665917,53.886083,galaxy,12.24,1.40,23.03,
NGC5824,NGC5824,,,,225.994333,-33.068139,globular_cluster,9.56,5.10,,
NGC5831,NGC5831,,,,226.029167,1.219917,galaxy,11.46,2.11,23.06,
NGC5832,NGC5832,,,,224.440458,71.682333,galaxy,12.26,1.32,23.03,
NGC5833,NGC5833,,,,227.973542,-72.859417,galaxy,11.93,2.04,23.19,
NGC5838,NGC5838,,,,226.359417,2.099333,galaxy,10.81,2.58,23.39,
NGC5839,NGC5839,,,,226.364542,1.634806,galaxy,12.19,1.36,23.24,
NGC5845,NGC5845,,,,226.503375,1.633806,galaxy,11.40,0.85,22.30,
NGC5846,NGC5846,,,,226.622000,1.605611,galaxy,10.18,4.16,23.12,
NGC5850,NGC5850,,,,226.782042,1.544250,galaxy,11.00,2.86,23.00,
NGC5854,NGC5854,,,,226.948750,2.568639,galaxy,11.80,1.86,23.67,
NGC5859,NGC5859,,,,226.894750,19.582306,galaxy,12.43,1.59,22.99,
NGC5861,NGC5861,,,,227.317042,-11.321667,galaxy,11.69,1.94,22.55,
NGC5866,NGC5866,,,,226.622917,55.763222,galaxy,9.89,4.51,23.40,
NGC5869,NGC5869,,,,227.456000,0.470028,galaxy,12.19,1.78,23.56,
NGC5874,NGC5874,,,,226.965958,54.752778,galaxy,12.49,1.97,23.45,
NGC5878,NGC5878,,,,228.440458,-14.269833,galaxy,11.67,2.24,22.94,
NGC5879,NGC5879,,,,227.444708,57.000194,galaxy,11.47,2.60,23.03,
NGC5885,NGC5885,,,,228.767333,-10.086000,galaxy,11.70,2.83,23.37,
NGC5892,NGC5892,,,,228.450875,-15.463889,galaxy,12.17,2.72,24.21,
NGC5897,NGC5897,,,,229.351667,-21.010111,globular_cluster,8.52,9.90,,
NGC5898,NGC5898,,,,229.556500,-24.097944,galaxy,11.38,2.52,23.43,
NGC5899,NGC5899,,,,228.763417,42.049833,galaxy,12.28,1.48,22.16,
NGC5903,NGC5903,,,,229.652208,-24.068583,galaxy,11.27,2.62,23.45,
NGC5904,NGC5904,,M5,,229.640625,2.082694,globular_cluster,5.95,15.00,,messier;showpiece
NGC5905,NGC5905,,,,228.847167,55.517361,galaxy,12.50,2.91,24.41,
NGC5907,NGC5907,,,,228.974042,56.328778,galaxy,10.37,6.53,23.60,
NGC5908,NGC5908,,,,229.180083,55.409250,galaxy,11.89,2.49,23.67,
NGC5915,NGC5915,,,,230.387833,-13.091750,galaxy,12.41,1.45,22.31,
NGC5921,NGC5921,,,,230.485667,5.070528,galaxy,11.02,2.52,22.51,
NGC5927,NGC5927,,,,232.001792,-50.672778,globular_cluster,8.86,6.60,,
NGC5936,NGC5936,,,,232.503458,12.989333,galaxy,12.46,1.15,22.11,
NGC5938,NGC5938,,,,234.109458,-66.859750,galaxy,11.49,1.95,22.79,
NGC5946,NGC5946,,,,233.869042,-50.659722,globular_cluster,10.72,3.60,,
NGC5953,NGC5953,,,,233.634917,15.193778,galaxy,12.45,1.29,22.50,
NGC5957,NGC5957,,,,233.846708,12.047611,galaxy,12.25,2.39,24.18,
NGC5962,NGC5962,,,,234.132000,16.607778,galaxy,11.50,2.04,22.45,
NGC5963,NGC5963,,,,233.366083,56.559694,galaxy,12.12,2.81,24.07,
NGC5964,NGC5964,,,,234.400917,5.974028,galaxy,11.82,2.99,24.77,
NGC5965,NGC5965,,,,233.510250,56.685611,galaxy,11.78,2.93,23.75,
NGC5966,NGC5966,,,,233.967250,39.768944,galaxy,12.22,1.25,22.91,
NGC5967,NGC5967,,,,237.066375,-75.672944,galaxy,12.20,1.96,22.98,
NGC5968,NGC5968,,,,234.988208,-30.552778,galaxy,12.23,2.21,23.61,
NGC5970,NGC5970,,,,234.624875,12.186611,galaxy,11.61,2.34,22.64,
NGC5982,NGC5982,,,,234.665958,59.355833,galaxy,11.07,2.54,23.26,
NGC5985,NGC5985,,,,234.904542,59.331944,galaxy,11.81,3.00,23.20,
NGC5986,NGC5986,,,,236.514333,-37.786139,globular_cluster,6.92,5.40,,
NGC5987,NGC5987,,,,234.989042,58.079528,galaxy,11.72,2.58,23.66,
NGC6012,NGC6012,,,,238.558083,14.601250,galaxy,11.96,1.52,22.65,
NGC6015,NGC6015,,,,237.855125,62.310028,galaxy,11.17,4.19,23.48,
NGC6068,NGC6068,,,,238.858292,78.996778,galaxy,12.34,1.04,21.64,
NGC6070,NGC6070,,,,242.494542,0.709306,galaxy,11.75,2.67,23.33,
NGC6072,NGC6072,,,,243.242500,-36.230000,planetary_nebula,11.70,1.17,,
NGC6093,NGC6093,,M80,,244.260458,-22.975111,globular_cluster,7.30,5.70,,messier
NGC6101,NGC6101,,,C107,246.452375,-72.201556,globular_cluster,10.08,4.50,,caldwell
NGC6106,NGC6106,,,,244.696542,7.410889,galaxy,12.20,1.69,22.73,
NGC6118,NGC6118,,,,245.452583,-2.283444,galaxy,11.71,3.12,23.65,
NGC6121,NGC6121,,M4,,245.897500,-26.525528,globular_cluster,5.40,28.20,,messier;showpiece
NGC6125,NGC6125,,,,244.798125,57.984222,galaxy,12.00,1.38,22.57,
NGC6137,NGC6137,,,,245.762917,37.922361,galaxy,12.45,1.35,23.51,
NGC6139,NGC6139,,,,246.918792,-38.849750,globular_cluster,9.68,4.50,,
NGC6140,NGC6140,,,,245.242333,65.390556,galaxy,11.66,1.94,22.46,
NGC6144,NGC6144,,,,246.808917,-26.024722,globular_cluster,9.63,5.40,,
NGC6156,NGC6156,,,,248.718958,-60.618806,galaxy,11.98,1.74,22.28,
NGC6166,NGC6166,,,,247.160333,39.551556,galaxy,11.91,1.84,23.41,
NGC6171,NGC6171,,M107,,248.133000,-13.053639,globular_cluster,8.85,7.80,,messier
NGC6173,NGC6173,,,,247.437083,40.811611,galaxy,12.14,1.71,23.53,
NGC6181,NGC6181,,,,248.087333,19.826556,galaxy,11.82,1.69,22.14,
NGC6205,NGC6205,Hercules Globular Cluster,M13,,250.423458,36.461306,globular_cluster,5.80,16.50,,messier;showpiece
NGC6207,NGC6207,,,,250.765625,36.832417,galaxy,11.64,2.54,22.66,
NGC6210,NGC6210,,,,251.123000,23.799833,planetary_nebula,9.65,0.50,,
NGC6215,NGC6215,,,,252.778375,-58.993472,galaxy,11.16,2.49,22.64,
NGC6218,NGC6218,,M12,,251.810500,-1.947833,globular_cluster,6.07,11.10,,messier;showpiece
NGC6221,NGC6221,,,,253.192000,-59.218611,galaxy,10.54,4.00,22.54,
NGC6229,NGC6229,,,,251.745250,47.527806,globular_cluster,9.86,4.80,,
NGC6235,NGC6235,,,,253.355667,-22.177444,globular_cluster,7.20,4.20,,
NGC6239,NGC6239,,,,252.520750,42.739694,galaxy,12.40,1.69,22.88,
NGC6246A,NGC6246A,,,,252.558250,55.384611,galaxy,12.49,1.73,24.29,
NGC6250,NGC6250,,,,254.483625,-45.936639,emission_nebula,5.90,9.60,,southern_showpiece
NGC6254,NGC6254,,M10,,254.287458,-4.099333,globular_cluster,4.98,9.30,,messier;showpiece
NGC6256,NGC6256,,,,254.886208,-37.121417,globular_cluster,,4.20,,
NGC6266,NGC6266,,M62,,255.302500,-30.112361,globular_cluster,7.39,7.80,,messier
NGC6269,NGC6269,,,,254.492042,27.854333,galaxy,12.31,1.58,23.61,
NGC6273,NGC6273,,M19,,255.657000,-26.267944,globular_cluster,5.57,7.50,,messier;showpiece
NGC6284,NGC6284,,,,256.119792,-24.764333,globular_cluster,7.43,6.60,,
NGC6287,NGC6287,,,,256.288917,-22.708000,globular_cluster,10.30,5.40,,
NGC6293,NGC6293,,,,257.543375,-26.581750,globular_cluster,9.02,4.50,,
NGC6300,NGC6300,,,,259.247792,-62.820556,galaxy,10.27,4.35,23.00,
