id,name,common_name,messier_id,caldwell_id,ra_deg,dec_deg,type,mag,size_arcmin,surface_brightness,tags
NGC4128,NGC4128,,,,182.134708,68.767611,galaxy,11.96,1.44,23.30,
NGC4129,NGC4129,,,,182.221750,-9.036500,galaxy,12.48,1.65,23.11,
NGC4136,NGC4136,,,,182.323708,29.927611,galaxy,11.90,2.26,22.59,
NGC4138,NGC4138,,,,182.374083,43.685306,galaxy,11.80,2.28,23.30,
NGC4143,NGC4143,,,,182.400250,42.534167,galaxy,12.08,2.21,22.72,
NGC4144,NGC4144,,,,182.494167,46.457167,galaxy,11.61,3.12,23.01,
NGC4145,NGC4145,,,,182.506333,39.883861,galaxy,11.22,3.37,23.19,
NGC4147,NGC4147,,,,182.525708,18.542139,globular_cluster,10.74,2.40,,
NGC4150,NGC4150,,,,182.640208,30.401528,galaxy,11.69,1.66,22.70,
NGC4151,NGC4151,,,,182.635750,39.405722,galaxy,11.48,2.54,22.23,
NGC4152,NGC4152,,,,182.656250,16.032917,galaxy,12.50,1.12,21.91,
NGC4157,NGC4157,,,,182.768208,50.484667,galaxy,11.29,3.68,23.65,
NGC4162,NGC4162,,,,182.968625,24.123667,galaxy,11.70,1.82,22.80,
NGC4168,NGC4168,,,,183.071958,13.205194,galaxy,11.45,2.60,23.21,
NGC4169,NGC4169,,,,183.078250,29.179417,galaxy,12.20,1.23,22.93,
NGC4178,NGC4178,,,,183.193542,10.865972,galaxy,11.43,2.95,22.87,
NGC4179,NGC4179,,,,183.217125,1.299694,galaxy,10.93,2.85,23.76,
NGC4183,NGC4183,,,,183.320333,43.698583,galaxy,12.29,2.46,23.18,
NGC4189,NGC4189,,,,183.446958,13.424806,galaxy,11.84,2.00,22.79,
NGC4192,NGC4192,,M98,,183.451208,14.900333,galaxy,10.84,6.85,23.89,messier
NGC4193,NGC4193,,,,183.473292,13.172861,galaxy,12.29,1.61,22.97,
NGC4203,NGC4203,,,,183.771083,33.197333,galaxy,11.55,2.42,23.08,
NGC4206,NGC4206,,,,183.820042,13.023972,galaxy,12.17,2.79,23.73,
NGC4208,NGC4208,,,,183.914000,13.901500,galaxy,11.10,2.25,22.34,
NGC4214,NGC4214,,,,183.913208,36.326889,galaxy,9.77,6.04,22.88,
NGC4215,NGC4215,,,,183.977250,6.401139,galaxy,11.96,1.13,22.68,
NGC4216,NGC4216,,,,183.976833,13.149389,galaxy,9.93,4.83,23.12,
NGC4217,NGC4217,,,,183.962083,47.091778,galaxy,11.23,3.52,23.64,
NGC4219,NGC4219,,,,184.113833,-43.324250,galaxy,11.83,2.49,23.45,
NGC4220,NGC4220,,,,184.048792,47.883250,galaxy,11.33,2.15,23.36,
NGC4223,NGC4223,,,,184.357542,6.690083,galaxy,11.95,1.64,23.11,
NGC4224,NGC4224,,,,184.140792,7.462083,galaxy,11.77,2.04,23.32,
NGC4233,NGC4233,,,,184.282000,7.624389,galaxy,11.94,1.66,23.40,
NGC4235,NGC4235,,,,184.291167,7.191583,galaxy,11.97,2.65,23.77,
NGC4236,NGC4236,,,C3,184.175500,69.462583,galaxy,9.77,15.18,24.58,caldwell
NGC4237,NGC4237,,,,184.297583,15.323972,galaxy,11.83,1.50,22.08,
NGC4242,NGC4242,,,,184.375750,45.619306,galaxy,11.03,3.23,22.92,
NGC4244,NGC4244,,,C26,184.373583,37.807111,galaxy,10.18,11.73,24.57,caldwell
NGC4245,NGC4245,,,,184.403208,29.608000,galaxy,11.42,2.08,22.98,
NGC4251,NGC4251,,,,184.534375,28.175389,galaxy,10.77,1.78,22.19,
NGC4254,NGC4254,Coma Pinwheel,M99,,184.706667,14.416500,galaxy,9.84,4.89,22.60,messier
NGC4258,NGC4258,,M106,,184.739583,47.303972,galaxy,9.29,12.11,23.36,messier
NGC4260,NGC4260,,,,184.842667,6.098667,galaxy,11.55,1.83,22.86,
NGC4261,NGC4261,,,,184.846750,5.825222,galaxy,11.11,3.80,23.18,
NGC4262,NGC4262,,,,184.877375,14.877667,galaxy,11.46,1.63,22.35,
NGC4267,NGC4267,,,,184.938500,12.798278,galaxy,10.89,2.15,22.58,
NGC4270,NGC4270,,,,184.956125,5.463444,galaxy,12.18,1.33,23.02,
NGC4273,NGC4273,,,,184.983667,5.343333,galaxy,11.80,2.07,22.66,
NGC4274,NGC4274,,,,184.960792,29.614472,galaxy,10.42,2.67,22.44,
NGC4278,NGC4278,,,,185.028417,29.280750,galaxy,10.21,2.86,22.22,
NGC4281,NGC4281,,,,185.089667,5.386389,galaxy,11.31,2.14,23.07,
NGC4283,NGC4283,,,,185.086875,29.310944,galaxy,12.32,1.18,22.32,
NGC4291,NGC4291,,,,185.075833,75.370833,galaxy,11.42,1.77,22.68,
NGC4292,NGC4292,,,,185.318583,4.595694,galaxy,12.21,1.35,22.84,
NGC4293,NGC4293,,,,185.303708,18.382389,galaxy,10.17,4.98,23.61,
NGC4294,NGC4294,,,,185.324292,11.510444,galaxy,12.05,1.85,22.49,
NGC4298,NGC4298,,,,185.386500,14.606167,galaxy,11.35,1.97,22.21,
NGC4299,NGC4299,,,,185.418958,11.499917,galaxy,12.47,1.43,22.27,
NGC4302,NGC4302,,,,185.427000,14.598306,galaxy,11.54,3.56,23.42,
NGC4303,NGC4303,,M61,,185.478750,4.473639,galaxy,10.25,6.72,23.05,messier
NGC4304,NGC4304,,,,185.553000,-33.484500,galaxy,11.77,2.46,23.17,
NGC4312,NGC4312,,,,185.630667,15.537917,galaxy,11.70,3.08,23.90,
NGC4313,NGC4313,,,,185.660583,11.800944,galaxy,12.42,2.40,23.29,
NGC4314,NGC4314,,,,185.632583,29.895889,galaxy,10.57,3.63,22.98,
NGC4321,NGC4321,,M100,,185.728458,15.821806,galaxy,9.47,5.86,22.61,messier
NGC4324,NGC4324,,,,185.775750,5.250333,galaxy,11.50,2.08,23.42,
NGC4339,NGC4339,,,,185.895625,6.081750,galaxy,11.41,2.26,23.03,
NGC4340,NGC4340,,,,185.897042,16.722361,galaxy,11.15,2.30,23.03,
NGC4343,NGC4343,,,,185.911250,6.954083,galaxy,12.29,1.92,23.47,
NGC4346,NGC4346,,,,185.866417,46.993833,galaxy,12.14,2.13,23.29,
NGC4348,NGC4348,,,,185.974958,-3.442917,galaxy,12.28,1.58,22.77,
NGC4350,NGC4350,,,,185.991125,16.693417,galaxy,10.87,2.06,22.75,
NGC4361,NGC4361,,,,186.128167,-18.784833,planetary_nebula,10.90,1.05,,
NGC4365,NGC4365,,,,186.117833,7.317667,galaxy,9.43,4.39,22.90,
NGC4369,NGC4369,,,,186.150833,39.383000,galaxy,11.69,1.94,22.55,
NGC4371,NGC4371,,,,186.230958,11.704222,galaxy,10.83,2.84,23.30,
NGC4372,NGC4372,,,C108,186.439083,-72.659083,globular_cluster,9.85,12.00,,caldwell
NGC4373,NGC4373,,,,186.324250,-39.759722,galaxy,10.92,3.04,23.61,
NGC4373A,NGC4373A,,,,186.407208,-39.319667,galaxy,12.20,1.92,23.59,
NGC4374,NGC4374,,M84,,186.265583,12.886972,galaxy,9.79,6.93,23.23,messier
NGC4377,NGC4377,,,,186.301417,14.762167,galaxy,11.80,1.42,22.43,
NGC4378,NGC4378,,,,186.325417,4.925139,galaxy,11.29,2.01,22.54,
NGC4379,NGC4379,,,,186.311417,15.607472,galaxy,11.63,1.70,22.63,
NGC4380,NGC4380,,,,186.342375,10.016806,galaxy,11.29,2.56,23.24,
NGC4382,NGC4382,,M85,,186.350458,18.191500,galaxy,9.05,6.15,22.87,messier
NGC4383,NGC4383,,,,186.356333,16.470139,galaxy,12.18,1.28,22.25,
NGC4386,NGC4386,,,,186.118125,75.528917,galaxy,11.69,1.98,23.38,
NGC4387,NGC4387,,,,186.423667,12.810528,galaxy,12.13,1.26,22.75,
NGC4388,NGC4388,,,,186.444792,12.662083,galaxy,11.02,3.33,23.20,
NGC4394,NGC4394,,,,186.481375,18.214056,galaxy,11.03,3.42,23.05,
NGC4395,NGC4395,,,,186.453583,33.546917,galaxy,10.29,2.78,21.71,
NGC4402,NGC4402,,,,186.531875,13.113333,galaxy,11.78,2.26,23.38,
NGC4406,NGC4406,,M86,,186.548917,12.946222,galaxy,8.86,9.98,23.90,messier
NGC4407,NGC4407,,,,186.634375,12.610972,galaxy,12.25,1.77,22.91,
NGC4411B,NGC4411B,,,,186.696792,8.884611,galaxy,12.41,1.82,23.04,
NGC4414,NGC4414,,,,186.612917,31.223528,galaxy,10.20,1.54,20.72,
NGC4416,NGC4416,,,,186.694667,7.919000,galaxy,11.57,1.47,22.76,
NGC4417,NGC4417,,,,186.710875,9.584250,galaxy,11.22,2.09,23.07,
NGC4419,NGC4419,,,,186.735167,15.047389,galaxy,11.06,2.60,23.17,
NGC4421,NGC4421,,,,186.760583,15.461472,galaxy,11.42,2.28,23.06,
NGC4424,NGC4424,,,,186.798375,9.420667,galaxy,11.68,2.31,23.15,
NGC4425,NGC4425,,,,186.805542,12.734722,galaxy,11.95,2.17,23.92,
NGC4429,NGC4429,,,,186.860458,11.107722,galaxy,10.08,3.86,23.17,
NGC4434,NGC4434,,,,186.902833,8.154333,galaxy,12.12,1.39,22.59,
NGC4435,NGC4435,Eyes,,,186.918708,13.078944,galaxy,10.96,2.58,22.66,
NGC4438,NGC4438,Eyes,,,186.939958,13.008833,galaxy,10.92,6.59,24.21,
NGC4440,NGC4440,,,,186.973208,12.293278,galaxy,11.81,1.60,22.66,
NGC4442,NGC4442,,,,187.016167,9.803722,galaxy,10.60,2.97,23.18,
NGC4448,NGC4448,,,,187.064292,28.620306,galaxy,11.11,1.31,21.52,
