hip_id,ra_deg,dec_deg,mag,name
32349,101.287155,-16.716116,-1.46,Sirius
30438,95.987877,-52.695661,-0.74,Canopus
69673,213.915300,19.182409,-0.05,Arcturus
91262,279.234734,38.783688,0.03,Vega
24436,78.634467,-8.201639,0.13,Rigel
