alias,hip_id
alpha cen,71683
alpha centauri,71683
beta ori,24436
beta orionis,24436
alpha cma,32349
alpha canis majoris,32349
alpha lyr,91262
alpha lyrae,91262
alpha bootes,69673
61 cyg,104214
61 cygni,104214
